Province,Year,Investment Value,Category
Quebec,2024,1805.0999999999999,Retail trade
Quebec,2025,1486.5,Retail trade
Quebec,2026,1442.8,Retail trade
Saskatchewan,2022,272.7,Retail trade
Saskatchewan,2023,300.4,Retail trade
Saskatchewan,2024,257.7,Retail trade
Saskatchewan,2025,216.59999999999999,Retail trade
Saskatchewan,2026,249.5,Retail trade
Yukon,2022,14.6,Retail trade
Yukon,2023,x,Retail trade
Yukon,2024,x,Retail trade
Yukon,2025,7.4,Retail trade
Yukon,2026,10.5,Retail trade
Alberta,2022,"11,679.70",Transportation and warehousing
Alberta,2023,"10,249.20",Transportation and warehousing
Alberta,2024,6768.1000000000004,Transportation and warehousing
Alberta,2025,"8,126.70",Transportation and warehousing
Alberta,2026,10020.299999999999,Transportation and warehousing
British Columbia,2022,18358.299999999999,Transportation and warehousing
British Columbia,2023,"20,798.90",Transportation and warehousing
British Columbia,2024,14701.1,Transportation and warehousing
British Columbia,2025,15542.9,Transportation and warehousing
British Columbia,2026,14450.4,Transportation and warehousing
Manitoba,2022,1034.2,Transportation and warehousing
Manitoba,2023,"1,226.60",Transportation and warehousing
Manitoba,2024,"1,203.40",Transportation and warehousing
Manitoba,2025,1336.5999999999999,Transportation and warehousing
Manitoba,2026,1352.5999999999999,Transportation and warehousing
New Brunswick,2022,519.5,Transportation and warehousing
New Brunswick,2023,461.1,Transportation and warehousing
New Brunswick,2024,464.6,Transportation and warehousing
New Brunswick,2025,415.89999999999998,Transportation and warehousing
New Brunswick,2026,428.39999999999998,Transportation and warehousing
Newfoundland and Labrador,2022,x,Transportation and warehousing
Newfoundland and Labrador,2023,180.8,Transportation and warehousing
Newfoundland and Labrador,2024,179.6,Transportation and warehousing
Newfoundland and Labrador,2025,168.4,Transportation and warehousing
Newfoundland and Labrador,2026,221,Transportation and warehousing
Northwest Territories,2022,x,Transportation and warehousing
Northwest Territories,2023,48.9,Transportation and warehousing
Northwest Territories,2024,45.6,Transportation and warehousing
Northwest Territories,2025,55.5,Transportation and warehousing
Northwest Territories,2026,x,Transportation and warehousing
Nova Scotia,2022,347.5,Transportation and warehousing
Nova Scotia,2023,488.7,Transportation and warehousing
Nova Scotia,2024,452.1,Transportation and warehousing
Nova Scotia,2025,563.9,Transportation and warehousing
Nova Scotia,2026,679.29999999999995,Transportation and warehousing
Nunavut,2022,x,Transportation and warehousing
